"","o","nn","CP","RCC_VAR","NUMB_ME","NUMB_ME_AD","DENS","COR","Q_VAR","NUMB_PRO","NUMB_RES","EUCD","MAPE","MSE"
"559",559,159,4,-1,1,0,0.64892248865217,0.6,1,50,50,97859.61,0.5647,191530059.25
"560",560,160,4,-1,1,0,0.680410460056737,0.6,1,50,50,117025.61,0.6673,273899865.69
"561",561,161,4,-1,1,0,0.574973354954272,0.6,1,50,50,136886.55,0.7486,374758561.69
"562",562,162,4,-1,1,0,0.692398101231083,0.6,1,50,50,106803.77,0.575,228140907.67
"563",563,163,4,-1,1,0,0.504109407868236,0.6,1,50,50,96429.58,0.5869,185973264.16
"564",564,164,4,-1,1,0,0.625521525647491,0.6,1,50,50,89495.45,0.5133,160188700.03
"565",565,165,4,-1,1,0,0.559158145426773,0.6,1,50,50,129572.49,0.8126,335780585.33
"566",566,166,4,-1,1,0,0.581452703569084,0.6,1,50,50,116737.08,0.689,272550901.59
"567",567,167,4,-1,1,0,0.528174477303401,0.6,1,50,50,119655.99,0.7301,286351132.99
"568",568,168,4,-1,1,0,0.538578443368897,0.6,1,50,50,102001.76,0.6357,208087178.49
"569",569,169,4,-1,1,0,0.603910858160816,0.6,1,50,50,71276.2,0.4593,101605945.85
"570",570,170,4,-1,1,0,0.454196624131873,0.6,1,50,50,135151.51,0.8338,365318626.91
"571",571,171,4,-1,1,0,0.425177384307608,0.6,1,50,50,134005.17,0.827,359147730.88
"572",572,172,4,-1,1,0,0.460560762998648,0.6,1,50,50,157562.2,0.859,496516967.94
"573",573,173,4,-1,1,0,0.455460822791792,0.6,1,50,50,100679.31,0.6112,202726471.84
"574",574,174,4,-1,1,0,0.42918580849655,0.6,1,50,50,111263.9,0.701,247593126.06
"575",575,175,4,-1,1,0,0.456331101967953,0.6,1,50,50,121194.5,0.6939,293762155.45
"576",576,176,4,-1,1,0,0.686084035993554,0.6,1,50,50,81234.64,0.4512,131981328.08
"577",577,177,4,-1,1,0,0.526031704875641,0.6,1,50,50,142496.99,0.786,406107815.71
"578",578,178,4,-1,1,0,0.685823142831214,0.6,1,50,50,90439.23,0.5436,163585088.75
"579",579,179,4,-1,1,0,0.405961719155312,0.6,1,50,50,167619.56,0.8592,561926333.85
"580",580,180,4,-1,1,0,0.665014584502205,0.6,1,50,50,107590.64,0.6655,231514911.17
"581",581,181,4,-1,1,0,0.460886608646251,0.6,1,50,50,117451.07,0.7066,275895097.2
"582",582,182,4,-1,1,0,0.472343479283154,0.6,1,50,50,135601.71,0.7882,367756469.48
"583",583,183,4,-1,1,0,0.490844548353925,0.6,1,50,50,155120.36,0.8138,481246551.43
"584",584,184,4,-1,1,0,0.408684285217896,0.6,1,50,50,143598.11,0.7886,412408363.21
"585",585,185,4,-1,1,0,0.502189592528157,0.6,1,50,50,116486.11,0.7248,271380259.82
"586",586,186,4,-1,1,0,0.493884279485792,0.6,1,50,50,159423.6,0.7535,508317678.28
"587",587,187,4,-1,1,0,0.60138374089729,0.6,1,50,50,101551.14,0.5983,206252675.14
"588",588,188,4,-1,1,0,0.417714661103673,0.6,1,50,50,136277.88,0.7555,371433195.27
"589",589,189,4,-1,1,0,0.479699596692808,0.6,1,50,50,93876.6,0.5207,176256313.5
"590",590,190,4,-1,1,0,0.674671686114743,0.6,1,50,50,97242.52,0.5162,189122140.8
"591",591,191,4,-1,1,0,0.454484519734979,0.6,1,50,50,94676.73,0.6095,179273662.4
"592",592,192,4,-1,1,0,0.417266094963998,0.6,1,50,50,113688.9,0.682,258503327.38
"593",593,193,4,-1,1,0,0.449546142038889,0.6,1,50,50,143470.79,0.8132,411677347.2
"594",594,194,4,-1,1,0,0.499192600650713,0.6,1,50,50,106545.14,0.622,227037335.4
"595",595,195,4,-1,1,0,0.548092503263615,0.6,1,50,50,101301.27,0.6503,205238951.57
"596",596,196,4,-1,1,0,0.634575366741046,0.6,1,50,50,109764.91,0.6307,240966726.92
"597",597,197,4,-1,1,0,0.665545110637322,0.6,1,50,50,107882.21,0.6538,232771430.34
"598",598,198,4,-1,1,0,0.610431873844936,0.6,1,50,50,107966.77,0.6483,233136447.63
"599",599,199,4,-1,1,0,0.692106721829623,0.6,1,50,50,103578.36,0.6189,214569536.57
"600",600,200,4,-1,1,0,0.42660813271068,0.6,1,50,50,116297.97,0.7004,270504369.36
"601",601,1,6,-1,1,0,0.447375676920638,0.6,1,50,50,106939.08,0.6628,228719330.04
"602",602,2,6,-1,1,0,0.643702891678549,0.6,1,50,50,95454.04,0.5381,182229461.35
"603",603,3,6,-1,1,0,0.521797756152228,0.6,1,50,50,92092.66,0.5539,169621143.57
"604",604,4,6,-1,1,0,0.465716206631623,0.6,1,50,50,180836.69,0.9214,654038163.05
"605",605,5,6,-1,1,0,0.433320254459977,0.6,1,50,50,91066.79,0.5263,165863220.82
"606",606,6,6,-1,1,0,0.411759162298404,0.6,1,50,50,152494.44,0.8643,465091061.04
"607",607,7,6,-1,1,0,0.632642390974797,0.6,1,50,50,92540.93,0.5869,171276481.51
"608",608,8,6,-1,1,0,0.417371048266068,0.6,1,50,50,170077.13,0.8688,578524635.91
"609",609,9,6,-1,1,0,0.43608556361869,0.6,1,50,50,154899.78,0.8401,479878857.64
"610",610,10,6,-1,1,0,0.652110673277639,0.6,1,50,50,92362.94,0.5327,170618244.48
"611",611,11,6,-1,1,0,0.551493308553472,0.6,1,50,50,128267.06,0.6558,329048788.36
"612",612,12,6,-1,1,0,0.664321235776879,0.6,1,50,50,71604.01,0.4171,102542687.72
"613",613,13,6,-1,1,0,0.46468349294737,0.6,1,50,50,93727.84,0.5291,175698141.11
"614",614,14,6,-1,1,0,0.442484035040252,0.6,1,50,50,93236.55,0.5895,173861089.96
"615",615,15,6,-1,1,0,0.699556281953119,0.6,1,50,50,62423.51,0.4037,77933892.36
"616",616,16,6,-1,1,0,0.421991301234812,0.6,1,50,50,116857.36,0.7288,273112871.52
"617",617,17,6,-1,1,0,0.450672581256367,0.6,1,50,50,144582.31,0.7099,418080858.89
"618",618,18,6,-1,1,0,0.676605616998859,0.6,1,50,50,85485.59,0.4657,146155712.07
"619",619,19,6,-1,1,0,0.549068320170045,0.6,1,50,50,68875.24,0.4273,94875969.33
"620",620,20,6,-1,1,0,0.679921275982633,0.6,1,50,50,102996.55,0.5478,212165776.97
"621",621,21,6,-1,1,0,0.562670321413316,0.6,1,50,50,81774.18,0.4839,133740337.37
"622",622,22,6,-1,1,0,0.527041420363821,0.6,1,50,50,129650.36,0.7807,336184293.87
"623",623,23,6,-1,1,0,0.67237974354066,0.6,1,50,50,120049.89,0.65,288239523.61
"624",624,24,6,-1,1,0,0.455682273232378,0.6,1,50,50,137079.09,0.7295,375813555.87
"625",625,25,6,-1,1,0,0.447820876259357,0.6,1,50,50,112548.36,0.5748,253342669.93
"626",626,26,6,-1,1,0,0.62605702036526,0.6,1,50,50,98278.61,0.5818,193173706.79
"627",627,27,6,-1,1,0,0.649258132604882,0.6,1,50,50,98413.85,0.5361,193705719.91
"628",628,28,6,-1,1,0,0.434392974898219,0.6,1,50,50,120435.99,0.7495,290096534
"629",629,29,6,-1,1,0,0.611926205339842,0.6,1,50,50,96833.76,0.6236,187535557.19
"630",630,30,6,-1,1,0,0.634527860349044,0.6,1,50,50,65113.13,0.4051,84794384.1
"631",631,31,6,-1,1,0,0.604140831180848,0.6,1,50,50,84961.33,0.5218,144368535.39
"632",632,32,6,-1,1,0,0.420536784967408,0.6,1,50,50,130355.98,0.7934,339853608.72
"633",633,33,6,-1,1,0,0.514388319849968,0.6,1,50,50,91519,0.5581,167514539.76
"634",634,34,6,-1,1,0,0.451765516470186,0.6,1,50,50,140506.46,0.7877,394841317.59
"635",635,35,6,-1,1,0,0.576064802659676,0.6,1,50,50,86552.61,0.513,149827080.23
"636",636,36,6,-1,1,0,0.682774391653947,0.6,1,50,50,94786.95,0.5641,179691314.56
"637",637,37,6,-1,1,0,0.494988091057166,0.6,1,50,50,94534.8,0.6304,178736576.36
"638",638,38,6,-1,1,0,0.692545105842873,0.6,1,50,50,75468.66,0.4665,113910359.77
"639",639,39,6,-1,1,0,0.492517170193605,0.6,1,50,50,88659.12,0.5956,157208792.1
"640",640,40,6,-1,1,0,0.414825879386626,0.6,1,50,50,94114.07,0.5584,177149147.03
"641",641,41,6,-1,1,0,0.490233646053821,0.6,1,50,50,116924.88,0.6367,273428533.31
"642",642,42,6,-1,1,0,0.548545595770702,0.6,1,50,50,72887.29,0.4604,106251141.81
"643",643,43,6,-1,1,0,0.692761933594011,0.6,1,50,50,92867.89,0.5702,172488890.42
"644",644,44,6,-1,1,0,0.445500119705684,0.6,1,50,50,109458.62,0.5947,239623807.07
"645",645,45,6,-1,1,0,0.66276743831113,0.6,1,50,50,101294.31,0.6182,205210728.62
"646",646,46,6,-1,1,0,0.5150604252005,0.6,1,50,50,98334.77,0.5563,193394526.24
"647",647,47,6,-1,1,0,0.677729144901968,0.6,1,50,50,69186.84,0.4172,95736370.9
"648",648,48,6,-1,1,0,0.631629760190844,0.6,1,50,50,122855.5,0.7168,301869465
"649",649,49,6,-1,1,0,0.603930677380413,0.6,1,50,50,70916.49,0.4453,100582984.15
"650",650,50,6,-1,1,0,0.653909037006088,0.6,1,50,50,55235.62,0.3792,61019476.55
"651",651,51,6,-1,1,0,0.425336376857013,0.6,1,50,50,134513.72,0.8017,361878840.42
"652",652,52,6,-1,1,0,0.576743483054452,0.6,1,50,50,92875.79,0.5405,172518250.22
"653",653,53,6,-1,1,0,0.512599819526076,0.6,1,50,50,136307.79,0.8389,371596273.87
"654",654,54,6,-1,1,0,0.446666196594015,0.6,1,50,50,150833.76,0.833,455016436.87
"655",655,55,6,-1,1,0,0.414103433024138,0.6,1,50,50,150100.68,0.8457,450604311.96
"656",656,56,6,-1,1,0,0.571536630694754,0.6,1,50,50,119486.23,0.7048,285539168.19
"657",657,57,6,-1,1,0,0.472475818148814,0.6,1,50,50,131156.88,0.7888,344042552.16
"658",658,58,6,-1,1,0,0.668933640350588,0.6,1,50,50,101768.26,0.6042,207135560.03
"659",659,59,6,-1,1,0,0.540661688009277,0.6,1,50,50,116535.29,0.7436,271609472.17
"660",660,60,6,-1,1,0,0.456511724716984,0.6,1,50,50,101140.25,0.564,204587012.86
"661",661,61,6,-1,1,0,0.407426443393342,0.6,1,50,50,139764.66,0.7184,390683185.2
"662",662,62,6,-1,1,0,0.484322569170035,0.6,1,50,50,82832.44,0.508,137224276.21
"663",663,63,6,-1,1,0,0.505869350139983,0.6,1,50,50,98205.45,0.6343,192886217.91
"664",664,64,6,-1,1,0,0.400495173432864,0.6,1,50,50,154014.24,0.9776,474407712.92
"665",665,65,6,-1,1,0,0.484605129691772,0.6,1,50,50,116565.51,0.7533,271750343.84
"666",666,66,6,-1,1,0,0.513436661893502,0.6,1,50,50,122450.96,0.8449,299884770.39
"667",667,67,6,-1,1,0,0.697293658228591,0.6,1,50,50,87700.33,0.5591,153826954.2
"668",668,68,6,-1,1,0,0.566890036128461,0.6,1,50,50,136346.91,0.7808,371809583.11
"669",669,69,6,-1,1,0,0.610769472108223,0.6,1,50,50,95978.76,0.5737,184238448.08
"670",670,70,6,-1,1,0,0.463289170269854,0.6,1,50,50,99674.18,0.621,198698824.67
"671",671,71,6,-1,1,0,0.525823438190855,0.6,1,50,50,111690.15,0.6109,249493795.48
"672",672,72,6,-1,1,0,0.425233688065782,0.6,1,50,50,185754.12,0.9474,690091825.69
"673",673,73,6,-1,1,0,0.548144769459032,0.6,1,50,50,76483.76,0.4924,116995300.25
"674",674,74,6,-1,1,0,0.453844105871394,0.6,1,50,50,83422.69,0.469,139186891.09
"675",675,75,6,-1,1,0,0.558996635023504,0.6,1,50,50,67375.18,0.4517,90788301.14
"676",676,76,6,-1,1,0,0.454580429312773,0.6,1,50,50,80493.08,0.4411,129582707.28
"677",677,77,6,-1,1,0,0.634107049414888,0.6,1,50,50,91667.27,0.5187,168057760.4
"678",678,78,6,-1,1,0,0.648295199521817,0.6,1,50,50,73245.67,0.4252,107298551.73
"679",679,79,6,-1,1,0,0.553341567725875,0.6,1,50,50,84433.53,0.5107,142580406.87
"680",680,80,6,-1,1,0,0.456024285475723,0.6,1,50,50,126741.46,0.7138,321267968.78
"681",681,81,6,-1,1,0,0.553465276095085,0.6,1,50,50,122621.17,0.7703,300719043.65
"682",682,82,6,-1,1,0,0.686336311371997,0.6,1,50,50,74118.33,0.4485,109870532.38
"683",683,83,6,-1,1,0,0.459957177820615,0.6,1,50,50,147300.79,0.8477,433950476.48
"684",684,84,6,-1,1,0,0.675663099298254,0.6,1,50,50,67597.87,0.4369,91389435.32
"685",685,85,6,-1,1,0,0.504711415292695,0.6,1,50,50,95513.48,0.5736,182456510.18
"686",686,86,6,-1,1,0,0.501379931136034,0.6,1,50,50,79826.68,0.5081,127445976.92
"687",687,87,6,-1,1,0,0.485702667897567,0.6,1,50,50,134980.64,0.8129,364395443.86
"688",688,88,6,-1,1,0,0.575899258255959,0.6,1,50,50,103406.27,0.6158,213857138.56
"689",689,89,6,-1,1,0,0.552766245277599,0.6,1,50,50,102839.81,0.6464,211520510.28
"690",690,90,6,-1,1,0,0.460161498305388,0.6,1,50,50,73299.17,0.4537,107455380.04
"691",691,91,6,-1,1,0,0.588629191066138,0.6,1,50,50,100391.98,0.6102,201571005.23
"692",692,92,6,-1,1,0,0.417626802623272,0.6,1,50,50,127461.22,0.7528,324927263.26
"693",693,93,6,-1,1,0,0.62057726609055,0.6,1,50,50,74708.21,0.4923,111626332.07
"694",694,94,6,-1,1,0,0.473776828520931,0.6,1,50,50,115892.05,0.6233,268619341.81
"695",695,95,6,-1,1,0,0.670821287971921,0.6,1,50,50,61536.11,0.3625,75733850.17
"696",696,96,6,-1,1,0,0.441152062336914,0.6,1,50,50,114593.43,0.6318,262633069.99
"697",697,97,6,-1,1,0,0.475551185500808,0.6,1,50,50,107038.28,0.6148,229143847.95
"698",698,98,6,-1,1,0,0.474660712433979,0.6,1,50,50,119434.34,0.6291,285291211.72
"699",699,99,6,-1,1,0,0.468977547320537,0.6,1,50,50,103385.09,0.6511,213769549.54
"700",700,100,6,-1,1,0,0.442678755591624,0.6,1,50,50,123204.73,0.7471,303588108.55
"701",701,101,6,-1,1,0,0.663261733949184,0.6,1,50,50,68075.48,0.4552,92685427.04
"702",702,102,6,-1,1,0,0.47682828719262,0.6,1,50,50,99541.82,0.6039,198171478.75
"703",703,103,6,-1,1,0,0.449899136880413,0.6,1,50,50,97711.67,0.6612,190951426.36
"704",704,104,6,-1,1,0,0.632792580360547,0.6,1,50,50,71004.61,0.4217,100833098.81
"705",705,105,6,-1,1,0,0.608199606509879,0.6,1,50,50,101445.04,0.6239,205821922.03
"706",706,106,6,-1,1,0,0.523556360113435,0.6,1,50,50,129208.69,0.7774,333897690.58
"707",707,107,6,-1,1,0,0.41351360429544,0.6,1,50,50,95477.79,0.5181,182320179.45
"708",708,108,6,-1,1,0,0.43556056835223,0.6,1,50,50,103830.19,0.6875,215614176.61
"709",709,109,6,-1,1,0,0.687911281036213,0.6,1,50,50,73607.53,0.4168,108361363.34
"710",710,110,6,-1,1,0,0.575426745507866,0.6,1,50,50,123858.08,0.734,306816477.11
"711",711,111,6,-1,1,0,0.563814159645699,0.6,1,50,50,115679.26,0.6844,267633842.93
"712",712,112,6,-1,1,0,0.454354628385045,0.6,1,50,50,101727.52,0.6659,206969749.32
"713",713,113,6,-1,1,0,0.512286954862066,0.6,1,50,50,78515.4,0.5087,123293369.1
"714",714,114,6,-1,1,0,0.401370865292847,0.6,1,50,50,146118.76,0.8958,427013813.77
"715",715,115,6,-1,1,0,0.560616699885577,0.6,1,50,50,79071.41,0.4141,125045752.58
"716",716,116,6,-1,1,0,0.502617467241362,0.6,1,50,50,143142.38,0.7908,409794815.79
"717",717,117,6,-1,1,0,0.40301665533334,0.6,1,50,50,144131.79,0.7358,415479436.16
"718",718,118,6,-1,1,0,0.636580048082396,0.6,1,50,50,93583.92,0.5402,175158987.21
"719",719,119,6,-1,1,0,0.418668547528796,0.6,1,50,50,104650.36,0.5334,219033943.4
"720",720,120,6,-1,1,0,0.690011801966466,0.6,1,50,50,97729.63,0.5551,191021617.95
"721",721,121,6,-1,1,0,0.680033087497577,0.6,1,50,50,78912.65,0.5005,124544136.48
"722",722,122,6,-1,1,0,0.410904558887705,0.6,1,50,50,108599.01,0.7168,235874901.66
"723",723,123,6,-1,1,0,0.600717839063145,0.6,1,50,50,119458.3,0.7152,285405729.63
"724",724,124,6,-1,1,0,0.655863654986024,0.6,1,50,50,95010.66,0.5679,180540503.18
"725",725,125,6,-1,1,0,0.416710973950103,0.6,1,50,50,125345.69,0.7588,314230848.73
"726",726,126,6,-1,1,0,0.673715600557625,0.6,1,50,50,70790.1,0.4278,100224775.56
"727",727,127,6,-1,1,0,0.605100608128123,0.6,1,50,50,112906.87,0.713,254959230.46
"728",728,128,6,-1,1,0,0.580709034996107,0.6,1,50,50,91751.76,0.5553,168367726.48
"729",729,129,6,-1,1,0,0.569105613906868,0.6,1,50,50,118783.34,0.7065,282189618.19
"730",730,130,6,-1,1,0,0.503604587353766,0.6,1,50,50,116324.53,0.7242,270627919.58
"731",731,131,6,-1,1,0,0.650889068096876,0.6,1,50,50,132345.15,0.757,350304780.83
"732",732,132,6,-1,1,0,0.585282301111147,0.6,1,50,50,112057.77,0.5757,251138869.46
"733",733,133,6,-1,1,0,0.402678088471293,0.6,1,50,50,158659.07,0.8786,503454034.59
"734",734,134,6,-1,1,0,0.492345290258527,0.6,1,50,50,96434.14,0.5198,185990863.26
"735",735,135,6,-1,1,0,0.587263877806254,0.6,1,50,50,91446.15,0.5379,167247954.92
"736",736,136,6,-1,1,0,0.520882327645086,0.6,1,50,50,116023.84,0.6546,269230645.86
"737",737,137,6,-1,1,0,0.664580726786517,0.6,1,50,50,106671.29,0.6417,227575274.94
"738",738,138,6,-1,1,0,0.492775788367726,0.6,1,50,50,129567.4,0.7248,335754234.42
"739",739,139,6,-1,1,0,0.634175278805196,0.6,1,50,50,113657.29,0.6353,258359603.22
"740",740,140,6,-1,1,0,0.641369664738886,0.6,1,50,50,102228.5,0.549,209013318.86
"741",741,141,6,-1,1,0,0.521944094542414,0.6,1,50,50,77667.21,0.4482,120643912.42
"742",742,142,6,-1,1,0,0.465384386922233,0.6,1,50,50,102880.3,0.6455,211687118.32
"743",743,143,6,-1,1,0,0.649552322598174,0.6,1,50,50,108274.19,0.5911,234465991.74
"744",744,144,6,-1,1,0,0.682620490342379,0.6,1,50,50,76692.68,0.533,117635330.96
"745",745,145,6,-1,1,0,0.667712173820473,0.6,1,50,50,93952.4,0.5332,176541070.16
"746",746,146,6,-1,1,0,0.570763323782012,0.6,1,50,50,91927.49,0.4883,169013280.5
"747",747,147,6,-1,1,0,0.524815872660838,0.6,1,50,50,122706.98,0.6973,301140052.9
"748",748,148,6,-1,1,0,0.411803603009321,0.6,1,50,50,134146.67,0.7624,359906572.32
"749",749,149,6,-1,1,0,0.592814501770772,0.6,1,50,50,97525.68,0.5044,190225152.3
"750",750,150,6,-1,1,0,0.458169413288124,0.6,1,50,50,108951.59,0.7336,237408983.61
"751",751,151,6,-1,1,0,0.465144552453421,0.6,1,50,50,140990.81,0.7773,397568179.77
"752",752,152,6,-1,1,0,0.623472009366378,0.6,1,50,50,87074.23,0.478,151638437.06
"753",753,153,6,-1,1,0,0.580748154665343,0.6,1,50,50,141526.5,0.8077,400594980.7
"754",754,154,6,-1,1,0,0.438908231258392,0.6,1,50,50,105632.05,0.6623,223162616.17
"755",755,155,6,-1,1,0,0.450020416663028,0.6,1,50,50,114667.42,0.6247,262972353.74
"756",756,156,6,-1,1,0,0.687977488012984,0.6,1,50,50,65381.68,0.4337,85495282.78
"757",757,157,6,-1,1,0,0.506995754013769,0.6,1,50,50,116934.62,0.652,273474095.23
"758",758,158,6,-1,1,0,0.675844111875631,0.6,1,50,50,91060.39,0.5458,165839877.15
"759",759,159,6,-1,1,0,0.417853593244217,0.6,1,50,50,124856.99,0.7235,311785350.93
"760",760,160,6,-1,1,0,0.433410521829501,0.6,1,50,50,120884.66,0.7308,292262007.14
"761",761,161,6,-1,1,0,0.621817628922872,0.6,1,50,50,71605.2,0.413,102546104.53
"762",762,162,6,-1,1,0,0.415903335390613,0.6,1,50,50,127555.03,0.7955,325405697.37
"763",763,163,6,-1,1,0,0.404598029400222,0.6,1,50,50,126986.72,0.7524,322512523.66
"764",764,164,6,-1,1,0,0.48346018246375,0.6,1,50,50,141274.57,0.8184,399170092.43
"765",765,165,6,-1,1,0,0.504993146215565,0.6,1,50,50,126637.81,0.6987,320742679.46
"766",766,166,6,-1,1,0,0.676538036088459,0.6,1,50,50,102267.13,0.5978,209171302.42
"767",767,167,6,-1,1,0,0.423025651625358,0.6,1,50,50,94084.57,0.5797,177038136.28
"768",768,168,6,-1,1,0,0.615895288926549,0.6,1,50,50,59270.79,0.3709,70260542.59
"769",769,169,6,-1,1,0,0.6074713898357,0.6,1,50,50,83224.81,0.5176,138527393.99
"770",770,170,6,-1,1,0,0.504967472096905,0.6,1,50,50,95810.15,0.6026,183591691.68
"771",771,171,6,-1,1,0,0.647103898832574,0.6,1,50,50,82639.47,0.5106,136585656.28
"772",772,172,6,-1,1,0,0.492064130282961,0.6,1,50,50,114351.12,0.6432,261523560.01
"773",773,173,6,-1,1,0,0.470695048663765,0.6,1,50,50,84319.02,0.5591,142193955.66
"774",774,174,6,-1,1,0,0.629253877047449,0.6,1,50,50,79447.59,0.4537,126238387.69
"775",775,175,6,-1,1,0,0.676303102797829,0.6,1,50,50,87960.66,0.5783,154741571.49
"776",776,176,6,-1,1,0,0.468127786344849,0.6,1,50,50,111799.6,0.687,249982996.19
"777",777,177,6,-1,1,0,0.452554580941796,0.6,1,50,50,130175.01,0.6671,338910650.68
"778",778,178,6,-1,1,0,0.440040623093955,0.6,1,50,50,103916.44,0.6267,215972516.05
"779",779,179,6,-1,1,0,0.446347137005068,0.6,1,50,50,154947.17,0.8367,480172490.78
"780",780,180,6,-1,1,0,0.56646669532638,0.6,1,50,50,75426.83,0.5045,113784126.76
"781",781,181,6,-1,1,0,0.522149872500449,0.6,1,50,50,88968.3,0.4682,158307175.37
"782",782,182,6,-1,1,0,0.563774846843444,0.6,1,50,50,95166.47,0.5006,181133129.11
"783",783,183,6,-1,1,0,0.669553735572845,0.6,1,50,50,104895.84,0.6534,220062732.69
"784",784,184,6,-1,1,0,0.548954068752937,0.6,1,50,50,95411.88,0.5645,182068534.77
"785",785,185,6,-1,1,0,0.68969426844269,0.6,1,50,50,65988.05,0.3742,87088450.94
"786",786,186,6,-1,1,0,0.5458188717952,0.6,1,50,50,77124.76,0.5151,118964579.57
"787",787,187,6,-1,1,0,0.625702747073956,0.6,1,50,50,77601.61,0.4699,120440206.65
"788",788,188,6,-1,1,0,0.612849198374897,0.6,1,50,50,71458.14,0.4921,102125319.72
"789",789,189,6,-1,1,0,0.544277322944254,0.6,1,50,50,111001.78,0.58,246427890.02
"790",790,190,6,-1,1,0,0.427769819647074,0.6,1,50,50,150067.81,0.8656,450406922.36
"791",791,191,6,-1,1,0,0.640303889405914,0.6,1,50,50,72072.94,0.4838,103890186.63
"792",792,192,6,-1,1,0,0.692768106446601,0.6,1,50,50,82020.7,0.511,134547891.29
"793",793,193,6,-1,1,0,0.605530741903931,0.6,1,50,50,125943.32,0.6242,317234388.52
"794",794,194,6,-1,1,0,0.574818379152566,0.6,1,50,50,60684.24,0.3922,73651531.8
"795",795,195,6,-1,1,0,0.696804533037357,0.6,1,50,50,89410.73,0.5437,159885587.63
"796",796,196,6,-1,1,0,0.437673720810562,0.6,1,50,50,111465.43,0.6006,248490825.34
"797",797,197,6,-1,1,0,0.407936003175564,0.6,1,50,50,97469.99,0.6304,190007979.58
"798",798,198,6,-1,1,0,0.40982904441189,0.6,1,50,50,161922.29,0.9349,524376534.65
"799",799,199,6,-1,1,0,0.430096915434115,0.6,1,50,50,129027.76,0.8149,332963274.28
"800",800,200,6,-1,1,0,0.53149150442332,0.6,1,50,50,116694.52,0.716,272352221.39
"801",801,1,8,-1,1,0,0.677388165867887,0.6,1,50,50,84613.7,0.5557,143189563.84
"802",802,2,8,-1,1,0,0.572735340916552,0.6,1,50,50,75884.89,0.4887,115170331.95
"803",803,3,8,-1,1,0,0.618599259667098,0.6,1,50,50,90777.87,0.4745,164812427.62
"804",804,4,8,-1,1,0,0.441842269874178,0.6,1,50,50,160693.81,0.7721,516450003.98
"805",805,5,8,-1,1,0,0.659734071348794,0.6,1,50,50,62225.02,0.3649,77439068.92
"806",806,6,8,-1,1,0,0.513973793876357,0.6,1,50,50,120561.48,0.7676,290701424.95
"807",807,7,8,-1,1,0,0.5313275487395,0.6,1,50,50,77218.2,0.472,119252994.86
"808",808,8,8,-1,1,0,0.43571801527869,0.6,1,50,50,118089.5,0.6376,278902599.43
"809",809,9,8,-1,1,0,0.604441429977305,0.6,1,50,50,85581.75,0.5171,146484734.51
"810",810,10,8,-1,1,0,0.535431524529122,0.6,1,50,50,100308.63,0.6128,201236417.22
"811",811,11,8,-1,1,0,0.478920131665655,0.6,1,50,50,91243.42,0.5562,166507220.36
"812",812,12,8,-1,1,0,0.626802468206733,0.6,1,50,50,86736.82,0.5359,150465521.75
"813",813,13,8,-1,1,0,0.565145975886844,0.6,1,50,50,85265.29,0.5026,145403400.63
"814",814,14,8,-1,1,0,0.644900587759912,0.6,1,50,50,74473.51,0.4601,110926064.34
"815",815,15,8,-1,1,0,0.444698874582537,0.6,1,50,50,124720.92,0.6286,311106134.25
"816",816,16,8,-1,1,0,0.55218671078328,0.6,1,50,50,86012.7,0.5065,147963686.5
"817",817,17,8,-1,1,0,0.491243025008589,0.6,1,50,50,112447.71,0.6611,252889762.24
"818",818,18,8,-1,1,0,0.489127439144067,0.6,1,50,50,125113.66,0.7371,313068576.46
"819",819,19,8,-1,1,0,0.433135637524538,0.6,1,50,50,93288.41,0.5293,174054558.02
"820",820,20,8,-1,1,0,0.56210984045174,0.6,1,50,50,76910.11,0.5284,118303292.14
"821",821,21,8,-1,1,0,0.657441293098964,0.6,1,50,50,110644.61,0.5834,244844595.04
"822",822,22,8,-1,1,0,0.602815629797988,0.6,1,50,50,73413.62,0.4483,107791189.09
"823",823,23,8,-1,1,0,0.617309944913722,0.6,1,50,50,98494.78,0.6067,194024430.75
"824",824,24,8,-1,1,0,0.490793413645588,0.6,1,50,50,79818.11,0.5152,127418621.55
"825",825,25,8,-1,1,0,0.571586558967829,0.6,1,50,50,105119.74,0.6329,221003213.13
"826",826,26,8,-1,1,0,0.643654132890515,0.6,1,50,50,87665.34,0.4931,153704241.62
"827",827,27,8,-1,1,0,0.642003739299253,0.6,1,50,50,66159.77,0.4241,87542316.24
"828",828,28,8,-1,1,0,0.623121256683953,0.6,1,50,50,68926.45,0.4465,95017111.04
"829",829,29,8,-1,1,0,0.457347827241756,0.6,1,50,50,89664.07,0.5852,160792892.53
"830",830,30,8,-1,1,0,0.606091374368407,0.6,1,50,50,54540.87,0.3694,59494126.38
"831",831,31,8,-1,1,0,0.564324618666433,0.6,1,50,50,71572.38,0.4319,102452123.38
"832",832,32,8,-1,1,0,0.551779770012945,0.6,1,50,50,111223.39,0.6525,247412837.88
"833",833,33,8,-1,1,0,0.652599837863818,0.6,1,50,50,127530.04,0.6957,325278247.08
"834",834,34,8,-1,1,0,0.547528285719454,0.6,1,50,50,105539.27,0.6039,222770761.17
"835",835,35,8,-1,1,0,0.491575173358433,0.6,1,50,50,69953.87,0.4578,97870882.42
"836",836,36,8,-1,1,0,0.512992660398595,0.6,1,50,50,115158.18,0.6851,265228129.9
"837",837,37,8,-1,1,0,0.474262022948824,0.6,1,50,50,79899.3,0.4847,127677956.7
